"writer","pony","prop","times"
"Meghan McCarthy","Twilight Sparkle",0.305323925593329,26
"Josh Haber","Twilight Sparkle",0.311082307193778,22
"M. A. Larson","Twilight Sparkle",0.380832915203211,18
"Amy Keating Rogers","Twilight Sparkle",0.207401032702238,17
"Dave Polsky","Twilight Sparkle",0.247840531561462,14
"Michael Vogel","Twilight Sparkle",0.251079580505861,12
"Cindy Morrow","Twilight Sparkle",0.218,11
"Nick Confalone","Twilight Sparkle",0.154894671623296,9
"Joanna Lewis & Kristine Songco","Twilight Sparkle",0.357712765957447,9
"Charlotte Fullerton","Twilight Sparkle",0.143298969072165,7
"Merriwether Williams","Twilight Sparkle",0.133982947624848,7
"Nicole Dubuc","Twilight Sparkle",0.442965779467681,7
"Michael P. Fox & Wil Fox","Twilight Sparkle",0.14207650273224,6
"Gillian M. Berrow","Twilight Sparkle",0.103937007874016,5
"Scott Sonneborn","Twilight Sparkle",0.21484375,5
"Josh Hamilton","Twilight Sparkle",0.104859335038363,4
"Natasha Levinger","Twilight Sparkle",0.0931263858093126,4
"Corey Powell","Twilight Sparkle",0.102102102102102,4
"Dave Rapp","Twilight Sparkle",0.0521472392638037,4
"Ed Valentine","Twilight Sparkle",0.274038461538462,4
"Jayson Thiessen","Twilight Sparkle",0.272251308900524,4
"Kevin Lappin","Twilight Sparkle",0.167630057803468,3
"Lauren Faust","Twilight Sparkle",0.439293598233996,3
"Neal Dusedau","Twilight Sparkle",0.381877022653722,3
"Jim Miller","Twilight Sparkle",0.340909090909091,3
"Kevin Burke & Chris ""Doc"" Wyatt","Twilight Sparkle",0.227436823104693,3
"Meghan McCarthy","Applejack",0.121872995509942,26
"Josh Haber","Applejack",0.163318211276734,22
"M. A. Larson","Applejack",0.0988459608630206,18
"Amy Keating Rogers","Applejack",0.177710843373494,17
"Dave Polsky","Applejack",0.13953488372093,14
"Michael Vogel","Applejack",0.144355336212215,12
"Cindy Morrow","Applejack",0.193,11
"Nick Confalone","Applejack",0.127633209417596,9
"Joanna Lewis & Kristine Songco","Applejack",0.0917553191489362,9
"Charlotte Fullerton","Applejack",0.138144329896907,7
"Merriwether Williams","Applejack",0.182704019488429,7
"Nicole Dubuc","Applejack",0.112167300380228,7
"Michael P. Fox & Wil Fox","Applejack",0.165300546448087,6
"Gillian M. Berrow","Applejack",0.0614173228346457,5
"Scott Sonneborn","Applejack",0.23046875,5
"Josh Hamilton","Applejack",0.0485933503836317,4
"Natasha Levinger","Applejack",0.19290465631929,4
"Corey Powell","Applejack",0.117117117117117,4
"Dave Rapp","Applejack",0.276073619631902,4
"Ed Valentine","Applejack",0.197115384615385,4
"Jayson Thiessen","Applejack",0.0890052356020942,4
"Kevin Lappin","Applejack",0.38728323699422,3
"Lauren Faust","Applejack",0.1280353200883,3
"Neal Dusedau","Applejack",0.220064724919094,3
"Jim Miller","Applejack",0.109848484848485,3
"Kevin Burke & Chris ""Doc"" Wyatt","Applejack",0.306859205776173,3
"Meghan McCarthy","Rainbow Dash",0.169660038486209,26
"Josh Haber","Rainbow Dash",0.120544394037589,22
"M. A. Larson","Rainbow Dash",0.155042649272454,18
"Amy Keating Rogers","Rainbow Dash",0.16566265060241,17
"Dave Polsky","Rainbow Dash",0.214617940199336,14
"Michael Vogel","Rainbow Dash",0.154225786551511,12
"Cindy Morrow","Rainbow Dash",0.256,11
"Nick Confalone","Rainbow Dash",0.151177199504337,9
"Joanna Lewis & Kristine Songco","Rainbow Dash",0.214095744680851,9
"Charlotte Fullerton","Rainbow Dash",0.115463917525773,7
"Merriwether Williams","Rainbow Dash",0.239951278928136,7
"Nicole Dubuc","Rainbow Dash",0.129277566539924,7
"Michael P. Fox & Wil Fox","Rainbow Dash",0.0560109289617486,6
"Gillian M. Berrow","Rainbow Dash",0.354330708661417,5
"Scott Sonneborn","Rainbow Dash",0.181640625,5
"Josh Hamilton","Rainbow Dash",0.278772378516624,4
"Natasha Levinger","Rainbow Dash",0.0997782705099778,4
"Corey Powell","Rainbow Dash",0.342342342342342,4
"Dave Rapp","Rainbow Dash",0.377300613496933,4
"Ed Valentine","Rainbow Dash",0.269230769230769,4
"Jayson Thiessen","Rainbow Dash",0.154450261780105,4
"Kevin Lappin","Rainbow Dash",0,3
"Lauren Faust","Rainbow Dash",0.130242825607064,3
"Neal Dusedau","Rainbow Dash",0.0938511326860841,3
"Jim Miller","Rainbow Dash",0.132575757575758,3
"Kevin Burke & Chris ""Doc"" Wyatt","Rainbow Dash",0,3
"Meghan McCarthy","Rarity",0.161962796664529,26
"Josh Haber","Rarity",0.224238496435515,22
"M. A. Larson","Rarity",0.129453085800301,18
"Amy Keating Rogers","Rarity",0.136402753872633,17
"Dave Polsky","Rarity",0.136212624584718,14
"Michael Vogel","Rarity",0.150524367674275,12
"Cindy Morrow","Rarity",0.099,11
"Nick Confalone","Rarity",0.0916976456009913,9
"Joanna Lewis & Kristine Songco","Rarity",0.183510638297872,9
"Charlotte Fullerton","Rarity",0.203092783505155,7
"Merriwether Williams","Rarity",0.126674786845311,7
"Nicole Dubuc","Rarity",0.091254752851711,7
"Michael P. Fox & Wil Fox","Rarity",0.329234972677596,6
"Gillian M. Berrow","Rarity",0.141732283464567,5
"Scott Sonneborn","Rarity",0.09375,5
"Josh Hamilton","Rarity",0.122762148337596,4
"Natasha Levinger","Rarity",0.0776053215077605,4
"Corey Powell","Rarity",0.255255255255255,4
"Dave Rapp","Rarity",0.0429447852760736,4
"Ed Valentine","Rarity",0.197115384615385,4
"Jayson Thiessen","Rarity",0.049738219895288,4
"Kevin Lappin","Rarity",0.358381502890173,3
"Lauren Faust","Rarity",0.0993377483443709,3
"Neal Dusedau","Rarity",0.184466019417476,3
"Jim Miller","Rarity",0.0568181818181818,3
"Kevin Burke & Chris ""Doc"" Wyatt","Rarity",0.162454873646209,3
"Meghan McCarthy","Fluttershy",0.118345093008339,26
"Josh Haber","Fluttershy",0.0661049902786779,22
"M. A. Larson","Fluttershy",0.115403913697943,18
"Amy Keating Rogers","Fluttershy",0.0727194492254733,17
"Dave Polsky","Fluttershy",0.0784053156146179,14
"Michael Vogel","Fluttershy",0.123380629241209,12
"Cindy Morrow","Fluttershy",0.095,11
"Nick Confalone","Fluttershy",0.0495662949194548,9
"Joanna Lewis & Kristine Songco","Fluttershy",0.106382978723404,9
"Charlotte Fullerton","Fluttershy",0.236082474226804,7
"Merriwether Williams","Fluttershy",0.191230207064555,7
"Nicole Dubuc","Fluttershy",0.106463878326996,7
"Michael P. Fox & Wil Fox","Fluttershy",0.0997267759562842,6
"Gillian M. Berrow","Fluttershy",0.132283464566929,5
"Scott Sonneborn","Fluttershy",0.15625,5
"Josh Hamilton","Fluttershy",0.202046035805627,4
"Natasha Levinger","Fluttershy",0.321507760532151,4
"Corey Powell","Fluttershy",0.12012012012012,4
"Dave Rapp","Fluttershy",0.211656441717791,4
"Ed Valentine","Fluttershy",0.0240384615384615,4
"Jayson Thiessen","Fluttershy",0.0863874345549738,4
"Kevin Lappin","Fluttershy",0,3
"Lauren Faust","Fluttershy",0.0860927152317881,3
"Neal Dusedau","Fluttershy",0.0550161812297735,3
"Jim Miller","Fluttershy",0.102272727272727,3
"Kevin Burke & Chris ""Doc"" Wyatt","Fluttershy",0.140794223826715,3
"Meghan McCarthy","Pinkie Pie",0.122835150737652,26
"Josh Haber","Pinkie Pie",0.114711600777706,22
"M. A. Larson","Pinkie Pie",0.120421475163071,18
"Amy Keating Rogers","Pinkie Pie",0.240103270223752,17
"Dave Polsky","Pinkie Pie",0.183388704318937,14
"Michael Vogel","Pinkie Pie",0.176434299814929,12
"Cindy Morrow","Pinkie Pie",0.139,11
"Nick Confalone","Pinkie Pie",0.425030978934325,9
"Joanna Lewis & Kristine Songco","Pinkie Pie",0.0465425531914894,9
"Charlotte Fullerton","Pinkie Pie",0.163917525773196,7
"Merriwether Williams","Pinkie Pie",0.125456760048721,7
"Nicole Dubuc","Pinkie Pie",0.11787072243346,7
"Michael P. Fox & Wil Fox","Pinkie Pie",0.207650273224044,6
"Gillian M. Berrow","Pinkie Pie",0.206299212598425,5
"Scott Sonneborn","Pinkie Pie",0.123046875,5
"Josh Hamilton","Pinkie Pie",0.242966751918159,4
"Natasha Levinger","Pinkie Pie",0.215077605321508,4
"Corey Powell","Pinkie Pie",0.0630630630630631,4
"Dave Rapp","Pinkie Pie",0.0398773006134969,4
"Ed Valentine","Pinkie Pie",0.0384615384615385,4
"Jayson Thiessen","Pinkie Pie",0.348167539267016,4
"Kevin Lappin","Pinkie Pie",0.0867052023121387,3
"Lauren Faust","Pinkie Pie",0.116997792494481,3
"Neal Dusedau","Pinkie Pie",0.0647249190938511,3
"Jim Miller","Pinkie Pie",0.257575757575758,3
"Kevin Burke & Chris ""Doc"" Wyatt","Pinkie Pie",0.162454873646209,3
