"title","writer","date","transcript","synopsis"
"Friendship is Magic, part 1","Lauren Faust","2010-10-10","https://mlp.fandom.com/wiki/Transcripts/Friendship_is_Magic,_part_1","https://mlp.fandom.com/wiki/Friendship_is_Magic,_part_1"
"Friendship is Magic, part 2","Lauren Faust","2010-10-22","https://mlp.fandom.com/wiki/Transcripts/Friendship_is_Magic,_part_2","https://mlp.fandom.com/wiki/Friendship_is_Magic,_part_2"
"The Ticket Master","Amy Keating Rogers & Lauren Faust","2010-10-29","https://mlp.fandom.com/wiki/Transcripts/The_Ticket_Master","https://mlp.fandom.com/wiki/The_Ticket_Master"
"Applebuck Season","Amy Keating Rogers","2010-11-05","https://mlp.fandom.com/wiki/Transcripts/Applebuck_Season","https://mlp.fandom.com/wiki/Applebuck_Season"
"Griffon the Brush Off","Cindy Morrow","2010-11-12","https://mlp.fandom.com/wiki/Transcripts/Griffon_the_Brush_Off","https://mlp.fandom.com/wiki/Griffon_the_Brush_Off"
"Boast Busters","Chris Savino","2010-11-19","https://mlp.fandom.com/wiki/Transcripts/Boast_Busters","https://mlp.fandom.com/wiki/Boast_Busters"
"Dragonshy","Meghan McCarthy","2010-11-26","https://mlp.fandom.com/wiki/Transcripts/Dragonshy","https://mlp.fandom.com/wiki/Dragonshy"
"Look Before You Sleep","Charlotte Fullerton","2010-12-03","https://mlp.fandom.com/wiki/Transcripts/Look_Before_You_Sleep","https://mlp.fandom.com/wiki/Look_Before_You_Sleep"
"Bridle Gossip","Amy Keating Rogers","2010-12-10","https://mlp.fandom.com/wiki/Transcripts/Bridle_Gossip","https://mlp.fandom.com/wiki/Bridle_Gossip"
"Swarm of the Century","M. A. Larson","2010-12-17","https://mlp.fandom.com/wiki/Transcripts/Swarm_of_the_Century","https://mlp.fandom.com/wiki/Swarm_of_the_Century"
"Winter Wrap Up","Cindy Morrow","2010-12-24","https://mlp.fandom.com/wiki/Transcripts/Winter_Wrap_Up","https://mlp.fandom.com/wiki/Winter_Wrap_Up"
"Call of the Cutie","Meghan McCarthy","2011-01-07","https://mlp.fandom.com/wiki/Transcripts/Call_of_the_Cutie","https://mlp.fandom.com/wiki/Call_of_the_Cutie"
"Fall Weather Friends","Amy Keating Rogers","2011-01-28","https://mlp.fandom.com/wiki/Transcripts/Fall_Weather_Friends","https://mlp.fandom.com/wiki/Fall_Weather_Friends"
"Suited For Success","Charlotte Fullerton","2011-02-04","https://mlp.fandom.com/wiki/Transcripts/Suited_For_Success","https://mlp.fandom.com/wiki/Suited_For_Success"
"Feeling Pinkie Keen","Dave Polsky","2011-02-11","https://mlp.fandom.com/wiki/Transcripts/Feeling_Pinkie_Keen","https://mlp.fandom.com/wiki/Feeling_Pinkie_Keen"
"Sonic Rainboom","M. A. Larson","2011-02-18","https://mlp.fandom.com/wiki/Transcripts/Sonic_Rainboom","https://mlp.fandom.com/wiki/Sonic_Rainboom"
"Stare Master","Chris Savino","2011-02-25","https://mlp.fandom.com/wiki/Transcripts/Stare_Master","https://mlp.fandom.com/wiki/Stare_Master"
"The Show Stoppers","Cindy Morrow","2011-03-04","https://mlp.fandom.com/wiki/Transcripts/The_Show_Stoppers","https://mlp.fandom.com/wiki/The_Show_Stoppers"
"A Dog and Pony Show","Amy Keating Rogers","2011-03-11","https://mlp.fandom.com/wiki/Transcripts/A_Dog_and_Pony_Show","https://mlp.fandom.com/wiki/A_Dog_and_Pony_Show"
"Green Isn't Your Color","Meghan McCarthy","2011-03-18","https://mlp.fandom.com/wiki/Transcripts/Green_Isn%27t_Your_Color","https://mlp.fandom.com/wiki/Green_Isn%27t_Your_Color"
"Over a Barrel","Dave Polsky","2011-03-25","https://mlp.fandom.com/wiki/Transcripts/Over_a_Barrel","https://mlp.fandom.com/wiki/Over_a_Barrel"
"A Bird in the Hoof","Charlotte Fullerton","2011-04-08","https://mlp.fandom.com/wiki/Transcripts/A_Bird_in_the_Hoof","https://mlp.fandom.com/wiki/A_Bird_in_the_Hoof"
"The Cutie Mark Chronicles","M. A. Larson","2011-04-15","https://mlp.fandom.com/wiki/Transcripts/The_Cutie_Mark_Chronicles","https://mlp.fandom.com/wiki/The_Cutie_Mark_Chronicles"
"Owl's Well That Ends Well","Cindy Morrow","2011-04-22","https://mlp.fandom.com/wiki/Transcripts/Owl%27s_Well_That_Ends_Well","https://mlp.fandom.com/wiki/Owl%27s_Well_That_Ends_Well"
"Party of One","Meghan McCarthy","2011-04-29","https://mlp.fandom.com/wiki/Transcripts/Party_of_One","https://mlp.fandom.com/wiki/Party_of_One"
"The Best Night Ever","Amy Keating Rogers","2011-05-06","https://mlp.fandom.com/wiki/Transcripts/The_Best_Night_Ever","https://mlp.fandom.com/wiki/The_Best_Night_Ever"
"The Return of Harmony Part 1","M. A. Larson","2011-09-17","https://mlp.fandom.com/wiki/Transcripts/The_Return_of_Harmony_Part_1","https://mlp.fandom.com/wiki/The_Return_of_Harmony_Part_1"
"The Return of Harmony Part 2","M. A. Larson","2011-09-24","https://mlp.fandom.com/wiki/Transcripts/The_Return_of_Harmony_Part_2","https://mlp.fandom.com/wiki/The_Return_of_Harmony_Part_2"
"Lesson Zero","Meghan McCarthy","2011-10-15","https://mlp.fandom.com/wiki/Transcripts/Lesson_Zero","https://mlp.fandom.com/wiki/Lesson_Zero"
"Luna Eclipsed","M. A. Larson","2011-10-22","https://mlp.fandom.com/wiki/Transcripts/Luna_Eclipsed","https://mlp.fandom.com/wiki/Luna_Eclipsed"
"Sisterhooves Social","Cindy Morrow","2011-11-05","https://mlp.fandom.com/wiki/Transcripts/Sisterhooves_Social","https://mlp.fandom.com/wiki/Sisterhooves_Social"
"The Cutie Pox","Amy Keating Rogers","2011-11-12","https://mlp.fandom.com/wiki/Transcripts/The_Cutie_Pox","https://mlp.fandom.com/wiki/The_Cutie_Pox"
"May the Best Pet Win!","Charlotte Fullerton","2011-11-19","https://mlp.fandom.com/wiki/Transcripts/May_the_Best_Pet_Win!","https://mlp.fandom.com/wiki/May_the_Best_Pet_Win!"
"The Mysterious Mare Do Well","Merriwether Williams","2011-11-26","https://mlp.fandom.com/wiki/Transcripts/The_Mysterious_Mare_Do_Well","https://mlp.fandom.com/wiki/The_Mysterious_Mare_Do_Well"
"Sweet and Elite","Meghan McCarthy","2011-12-03","https://mlp.fandom.com/wiki/Transcripts/Sweet_and_Elite","https://mlp.fandom.com/wiki/Sweet_and_Elite"
"Secret of My Excess","M. A. Larson","2011-12-10","https://mlp.fandom.com/wiki/Transcripts/Secret_of_My_Excess","https://mlp.fandom.com/wiki/Secret_of_My_Excess"
"Hearth's Warming Eve","Merriwether Williams","2011-12-17","https://mlp.fandom.com/wiki/Transcripts/Hearth%27s_Warming_Eve","https://mlp.fandom.com/wiki/Hearth%27s_Warming_Eve"
"Family Appreciation Day","Cindy Morrow","2012-01-07","https://mlp.fandom.com/wiki/Transcripts/Family_Appreciation_Day","https://mlp.fandom.com/wiki/Family_Appreciation_Day"
"Baby Cakes","Charlotte Fullerton","2012-01-14","https://mlp.fandom.com/wiki/Transcripts/Baby_Cakes","https://mlp.fandom.com/wiki/Baby_Cakes"
"The Last Roundup","Amy Keating Rogers","2012-01-21","https://mlp.fandom.com/wiki/Transcripts/The_Last_Roundup","https://mlp.fandom.com/wiki/The_Last_Roundup"
"The Super Speedy Cider Squeezy 6000","M. A. Larson","2012-01-28","https://mlp.fandom.com/wiki/Transcripts/The_Super_Speedy_Cider_Squeezy_6000","https://mlp.fandom.com/wiki/The_Super_Speedy_Cider_Squeezy_6000"
"Read It and Weep","Cindy Morrow","2012-02-04","https://mlp.fandom.com/wiki/Transcripts/Read_It_and_Weep","https://mlp.fandom.com/wiki/Read_It_and_Weep"
"Hearts and Hooves Day","Meghan McCarthy","2012-02-11","https://mlp.fandom.com/wiki/Transcripts/Hearts_and_Hooves_Day","https://mlp.fandom.com/wiki/Hearts_and_Hooves_Day"
"A Friend in Deed","Amy Keating Rogers","2012-02-18","https://mlp.fandom.com/wiki/Transcripts/A_Friend_in_Deed","https://mlp.fandom.com/wiki/A_Friend_in_Deed"
"Putting Your Hoof Down","Merriwether Williams; story by Charlotte Fullerton","2012-03-03","https://mlp.fandom.com/wiki/Transcripts/Putting_Your_Hoof_Down","https://mlp.fandom.com/wiki/Putting_Your_Hoof_Down"
"It's About Time","M. A. Larson","2012-03-10","https://mlp.fandom.com/wiki/Transcripts/It%27s_About_Time","https://mlp.fandom.com/wiki/It%27s_About_Time"
"Dragon Quest","Merriwether Williams","2012-03-17","https://mlp.fandom.com/wiki/Transcripts/Dragon_Quest","https://mlp.fandom.com/wiki/Dragon_Quest"
"Hurricane Fluttershy","Cindy Morrow","2012-03-24","https://mlp.fandom.com/wiki/Transcripts/Hurricane_Fluttershy","https://mlp.fandom.com/wiki/Hurricane_Fluttershy"
"Ponyville Confidential","M. A. Larson","2012-03-31","https://mlp.fandom.com/wiki/Transcripts/Ponyville_Confidential","https://mlp.fandom.com/wiki/Ponyville_Confidential"
"MMMystery on the Friendship Express","Amy Keating Rogers","2012-04-07","https://mlp.fandom.com/wiki/Transcripts/MMMystery_on_the_Friendship_Express","https://mlp.fandom.com/wiki/MMMystery_on_the_Friendship_Express"
"A Canterlot Wedding - Part 1","Meghan McCarthy","2012-04-21","https://mlp.fandom.com/wiki/Transcripts/A_Canterlot_Wedding_-_Part_1","https://mlp.fandom.com/wiki/A_Canterlot_Wedding_-_Part_1"
"A Canterlot Wedding - Part 2","Meghan McCarthy","2012-04-21","https://mlp.fandom.com/wiki/Transcripts/A_Canterlot_Wedding_-_Part_2","https://mlp.fandom.com/wiki/A_Canterlot_Wedding_-_Part_2"
"The Crystal Empire - Part 1","Meghan McCarthy","2012-11-10","https://mlp.fandom.com/wiki/Transcripts/The_Crystal_Empire_-_Part_1","https://mlp.fandom.com/wiki/The_Crystal_Empire_-_Part_1"
"The Crystal Empire - Part 2","Meghan McCarthy","2012-11-10","https://mlp.fandom.com/wiki/Transcripts/The_Crystal_Empire_-_Part_2","https://mlp.fandom.com/wiki/The_Crystal_Empire_-_Part_2"
"Too Many Pinkie Pies","Dave Polsky","2012-11-17","https://mlp.fandom.com/wiki/Transcripts/Too_Many_Pinkie_Pies","https://mlp.fandom.com/wiki/Too_Many_Pinkie_Pies"
"One Bad Apple","Cindy Morrow","2012-11-24","https://mlp.fandom.com/wiki/Transcripts/One_Bad_Apple","https://mlp.fandom.com/wiki/One_Bad_Apple"
"Magic Duel","M. A. Larson","2012-12-01","https://mlp.fandom.com/wiki/Transcripts/Magic_Duel","https://mlp.fandom.com/wiki/Magic_Duel"
"Sleepless in Ponyville","Corey Powell","2012-12-08","https://mlp.fandom.com/wiki/Transcripts/Sleepless_in_Ponyville","https://mlp.fandom.com/wiki/Sleepless_in_Ponyville"
"Wonderbolts Academy","Merriwether Williams","2012-12-15","https://mlp.fandom.com/wiki/Transcripts/Wonderbolts_Academy","https://mlp.fandom.com/wiki/Wonderbolts_Academy"
"Apple Family Reunion","Cindy Morrow","2012-12-22","https://mlp.fandom.com/wiki/Transcripts/Apple_Family_Reunion","https://mlp.fandom.com/wiki/Apple_Family_Reunion"
"Spike at Your Service","Merriwether Williams; story by Dave Polsky","2012-12-29","https://mlp.fandom.com/wiki/Transcripts/Spike_at_Your_Service","https://mlp.fandom.com/wiki/Spike_at_Your_Service"
"Keep Calm and Flutter On","Dave Polsky; story by Teddy Antonio","2013-01-19","https://mlp.fandom.com/wiki/Transcripts/Keep_Calm_and_Flutter_On","https://mlp.fandom.com/wiki/Keep_Calm_and_Flutter_On"
"Just for Sidekicks","Corey Powell","2013-01-26","https://mlp.fandom.com/wiki/Transcripts/Just_for_Sidekicks","https://mlp.fandom.com/wiki/Just_for_Sidekicks"
"Games Ponies Play","Dave Polsky","2013-02-09","https://mlp.fandom.com/wiki/Transcripts/Games_Ponies_Play","https://mlp.fandom.com/wiki/Games_Ponies_Play"
"Magical Mystery Cure","M. A. Larson","2013-02-16","https://mlp.fandom.com/wiki/Transcripts/Magical_Mystery_Cure","https://mlp.fandom.com/wiki/Magical_Mystery_Cure"
"Princess Twilight Sparkle - Part 1","Meghan McCarthy","2013-11-23","https://mlp.fandom.com/wiki/Transcripts/Princess_Twilight_Sparkle_-_Part_1","https://mlp.fandom.com/wiki/Princess_Twilight_Sparkle_-_Part_1"
"Princess Twilight Sparkle - Part 2","Meghan McCarthy","2013-11-23","https://mlp.fandom.com/wiki/Transcripts/Princess_Twilight_Sparkle_-_Part_2","https://mlp.fandom.com/wiki/Princess_Twilight_Sparkle_-_Part_2"
"Castle Mane-ia","Josh Haber","2013-11-30","https://mlp.fandom.com/wiki/Transcripts/Castle_Mane-ia","https://mlp.fandom.com/wiki/Castle_Mane-ia"
"Daring Don't","Dave Polsky","2013-12-07","https://mlp.fandom.com/wiki/Transcripts/Daring_Don%27t","https://mlp.fandom.com/wiki/Daring_Don%27t"
"Flight to the Finish","Ed Valentine","2013-12-14","https://mlp.fandom.com/wiki/Transcripts/Flight_to_the_Finish","https://mlp.fandom.com/wiki/Flight_to_the_Finish"
"Power Ponies","Meghan McCarthy, Charlotte Fullerton & Betsy McGowen","2013-12-21","https://mlp.fandom.com/wiki/Transcripts/Power_Ponies","https://mlp.fandom.com/wiki/Power_Ponies"
"Bats!","Merriwether Williams","2013-12-28","https://mlp.fandom.com/wiki/Transcripts/Bats!","https://mlp.fandom.com/wiki/Bats!"
"Rarity Takes Manehattan","Dave Polsky","2014-01-04","https://mlp.fandom.com/wiki/Transcripts/Rarity_Takes_Manehattan","https://mlp.fandom.com/wiki/Rarity_Takes_Manehattan"
"Pinkie Apple Pie","Natasha Levinger","2014-01-11","https://mlp.fandom.com/wiki/Transcripts/Pinkie_Apple_Pie","https://mlp.fandom.com/wiki/Pinkie_Apple_Pie"
"Rainbow Falls","Corey Powell","2014-01-18","https://mlp.fandom.com/wiki/Transcripts/Rainbow_Falls","https://mlp.fandom.com/wiki/Rainbow_Falls"
"Three's A Crowd","Meghan McCarthy & Ed Valentine","2014-01-25","https://mlp.fandom.com/wiki/Transcripts/Three%27s_A_Crowd","https://mlp.fandom.com/wiki/Three%27s_A_Crowd"
"Pinkie Pride","Amy Keating Rogers; story by Jayson Thiessen","2014-02-01","https://mlp.fandom.com/wiki/Transcripts/Pinkie_Pride","https://mlp.fandom.com/wiki/Pinkie_Pride"
"Simple Ways","Josh Haber","2014-02-08","https://mlp.fandom.com/wiki/Transcripts/Simple_Ways","https://mlp.fandom.com/wiki/Simple_Ways"
"Filli Vanilli","Amy Keating Rogers","2014-02-15","https://mlp.fandom.com/wiki/Transcripts/Filli_Vanilli","https://mlp.fandom.com/wiki/Filli_Vanilli"
"Twilight Time","Dave Polsky","2014-02-22","https://mlp.fandom.com/wiki/Transcripts/Twilight_Time","https://mlp.fandom.com/wiki/Twilight_Time"
"It Ain't Easy Being Breezies","Natasha Levinger","2014-03-01","https://mlp.fandom.com/wiki/Transcripts/It_Ain%27t_Easy_Being_Breezies","https://mlp.fandom.com/wiki/It_Ain%27t_Easy_Being_Breezies"
"Somepony to Watch Over Me","Scott Sonneborn","2014-03-08","https://mlp.fandom.com/wiki/Transcripts/Somepony_to_Watch_Over_Me","https://mlp.fandom.com/wiki/Somepony_to_Watch_Over_Me"
"Maud Pie","Noelle Benvenuti","2014-03-15","https://mlp.fandom.com/wiki/Transcripts/Maud_Pie_(episode)","https://mlp.fandom.com/wiki/Maud_Pie_(episode)"
"For Whom the Sweetie Belle Toils","Dave Polsky","2014-03-22","https://mlp.fandom.com/wiki/Transcripts/For_Whom_the_Sweetie_Belle_Toils","https://mlp.fandom.com/wiki/For_Whom_the_Sweetie_Belle_Toils"
"Leap of Faith","Josh Haber","2014-03-29","https://mlp.fandom.com/wiki/Transcripts/Leap_of_Faith","https://mlp.fandom.com/wiki/Leap_of_Faith"
"Testing Testing 1, 2, 3","Amy Keating Rogers","2014-04-05","https://mlp.fandom.com/wiki/Transcripts/Testing_Testing_1,_2,_3","https://mlp.fandom.com/wiki/Testing_Testing_1,_2,_3"
"Trade Ya!","Scott Sonneborn","2014-04-19","https://mlp.fandom.com/wiki/Transcripts/Trade_Ya!","https://mlp.fandom.com/wiki/Trade_Ya!"
"Inspiration Manifestation","Corey Powell & Meghan McCarthy","2014-04-26","https://mlp.fandom.com/wiki/Transcripts/Inspiration_Manifestation","https://mlp.fandom.com/wiki/Inspiration_Manifestation"
"Equestria Games","Dave Polsky","2014-05-03","https://mlp.fandom.com/wiki/Transcripts/Equestria_Games","https://mlp.fandom.com/wiki/Equestria_Games"
"Twilight's Kingdom - Part 1","Meghan McCarthy","2014-05-10","https://mlp.fandom.com/wiki/Transcripts/Twilight%27s_Kingdom_-_Part_1","https://mlp.fandom.com/wiki/Twilight%27s_Kingdom_-_Part_1"
"Twilight's Kingdom - Part 2","Meghan McCarthy","2014-05-10","https://mlp.fandom.com/wiki/Transcripts/Twilight%27s_Kingdom_-_Part_2","https://mlp.fandom.com/wiki/Twilight%27s_Kingdom_-_Part_2"
"The Cutie Map - Part 1","Scott Sonneborn & M. A. Larson; story by Meghan McCarthy","2015-04-04","https://mlp.fandom.com/wiki/Transcripts/The_Cutie_Map_-_Part_1","https://mlp.fandom.com/wiki/The_Cutie_Map_-_Part_1"
"The Cutie Map - Part 2","Scott Sonneborn & M. A. Larson; story by Meghan McCarthy","2015-04-04","https://mlp.fandom.com/wiki/Transcripts/The_Cutie_Map_-_Part_2","https://mlp.fandom.com/wiki/The_Cutie_Map_-_Part_2"
"Castle Sweet Castle","Joanna Lewis & Kristine Songco","2015-04-11","https://mlp.fandom.com/wiki/Transcripts/Castle_Sweet_Castle","https://mlp.fandom.com/wiki/Castle_Sweet_Castle"
"Bloom & Gloom","Josh Haber","2015-04-18","https://mlp.fandom.com/wiki/Transcripts/Bloom_%26_Gloom","https://mlp.fandom.com/wiki/Bloom_%26_Gloom"
"Tanks for the Memories","Cindy Morrow","2015-04-25","https://mlp.fandom.com/wiki/Transcripts/Tanks_for_the_Memories","https://mlp.fandom.com/wiki/Tanks_for_the_Memories"
"Appleoosa's Most Wanted","Dave Polsky","2015-05-02","https://mlp.fandom.com/wiki/Transcripts/Appleoosa%27s_Most_Wanted","https://mlp.fandom.com/wiki/Appleoosa%27s_Most_Wanted"
"Make New Friends but Keep Discord","Natasha Levinger","2015-05-16","https://mlp.fandom.com/wiki/Transcripts/Make_New_Friends_but_Keep_Discord","https://mlp.fandom.com/wiki/Make_New_Friends_but_Keep_Discord"
"The Lost Treasure of Griffonstone","Amy Keating Rogers","2015-05-23","https://mlp.fandom.com/wiki/Transcripts/The_Lost_Treasure_of_Griffonstone","https://mlp.fandom.com/wiki/The_Lost_Treasure_of_Griffonstone"
"Slice of Life","M. A. Larson","2015-06-13","https://mlp.fandom.com/wiki/Transcripts/Slice_of_Life","https://mlp.fandom.com/wiki/Slice_of_Life"
