"title","writer","date","transcript","synopsis"
"Princess Spike","Neal Dusedau; story by Jayson Thiessen & Jim Miller","2015-06-20","https://mlp.fandom.com/wiki/Transcripts/Princess_Spike","https://mlp.fandom.com/wiki/Princess_Spike"
"Party Pooped","Nick Confalone; story by Jayson Thiessen & Jim Miller","2015-06-27","https://mlp.fandom.com/wiki/Transcripts/Party_Pooped","https://mlp.fandom.com/wiki/Party_Pooped"
"Amending Fences","M. A. Larson","2015-07-04","https://mlp.fandom.com/wiki/Transcripts/Amending_Fences","https://mlp.fandom.com/wiki/Amending_Fences"
"Do Princesses Dream of Magic Sheep?","Scott Sonneborn; story by Jayson Thiessen & Jim Miller","2015-07-11","https://mlp.fandom.com/wiki/Transcripts/Do_Princesses_Dream_of_Magic_Sheep%3F","https://mlp.fandom.com/wiki/Do_Princesses_Dream_of_Magic_Sheep%3F"
"Canterlot Boutique","Amy Keating Rogers","2015-09-12","https://mlp.fandom.com/wiki/Transcripts/Canterlot_Boutique","https://mlp.fandom.com/wiki/Canterlot_Boutique"
"Rarity Investigates!","Joanna Lewis & Kristine Songco; story by Meghan McCarthy, M. A. Larson, Joanna Lewis & Kristine Songco","2015-09-19","https://mlp.fandom.com/wiki/Transcripts/Rarity_Investigates!","https://mlp.fandom.com/wiki/Rarity_Investigates!"
"Made in Manehattan","Noelle Benvenuti","2015-09-26","https://mlp.fandom.com/wiki/Transcripts/Made_in_Manehattan","https://mlp.fandom.com/wiki/Made_in_Manehattan"
"Brotherhooves Social","Dave Polsky","2015-10-03","https://mlp.fandom.com/wiki/Transcripts/Brotherhooves_Social","https://mlp.fandom.com/wiki/Brotherhooves_Social"
"Crusaders of the Lost Mark","Amy Keating Rogers","2015-10-10","https://mlp.fandom.com/wiki/Transcripts/Crusaders_of_the_Lost_Mark","https://mlp.fandom.com/wiki/Crusaders_of_the_Lost_Mark"
"The One Where Pinkie Pie Knows","Gillian M. Berrow","2015-10-17","https://mlp.fandom.com/wiki/Transcripts/The_One_Where_Pinkie_Pie_Knows","https://mlp.fandom.com/wiki/The_One_Where_Pinkie_Pie_Knows"
"Hearthbreakers","Nick Confalone","2015-10-24","https://mlp.fandom.com/wiki/Transcripts/Hearthbreakers","https://mlp.fandom.com/wiki/Hearthbreakers"
"Scare Master","Natasha Levinger","2015-10-31","https://mlp.fandom.com/wiki/Transcripts/Scare_Master","https://mlp.fandom.com/wiki/Scare_Master"
"What About Discord?","Neal Dusedau","2015-11-07","https://mlp.fandom.com/wiki/Transcripts/What_About_Discord%3F","https://mlp.fandom.com/wiki/What_About_Discord%3F"
"The Hooffields and McColts","Joanna Lewis & Kristine Songco","2015-11-14","https://mlp.fandom.com/wiki/Transcripts/The_Hooffields_and_McColts","https://mlp.fandom.com/wiki/The_Hooffields_and_McColts"
"The Mane Attraction","Amy Keating Rogers","2015-11-21","https://mlp.fandom.com/wiki/Transcripts/The_Mane_Attraction","https://mlp.fandom.com/wiki/The_Mane_Attraction"
"The Cutie Re-Mark - Part 1","Josh Haber","2015-11-28","https://mlp.fandom.com/wiki/Transcripts/The_Cutie_Re-Mark_-_Part_1","https://mlp.fandom.com/wiki/The_Cutie_Re-Mark_-_Part_1"
"The Cutie Re-Mark - Part 2","Josh Haber","2015-11-28","https://mlp.fandom.com/wiki/Transcripts/The_Cutie_Re-Mark_-_Part_2","https://mlp.fandom.com/wiki/The_Cutie_Re-Mark_-_Part_2"
"The Crystalling - Part 1","Josh Haber","2016-03-26","https://mlp.fandom.com/wiki/Transcripts/The_Crystalling_-_Part_1","https://mlp.fandom.com/wiki/The_Crystalling_-_Part_1"
"The Crystalling - Part 2","Josh Haber","2016-03-26","https://mlp.fandom.com/wiki/Transcripts/The_Crystalling_-_Part_2","https://mlp.fandom.com/wiki/The_Crystalling_-_Part_2"
"The Gift of the Maud Pie","Michael P. Fox & Wil Fox; story by Josh Haber, Michael P. Fox & Wil Fox","2016-04-02","https://mlp.fandom.com/wiki/Transcripts/The_Gift_of_the_Maud_Pie","https://mlp.fandom.com/wiki/The_Gift_of_the_Maud_Pie"
"On Your Marks","Dave Polsky & Josh Haber; story by Dave Polsky","2016-04-09","https://mlp.fandom.com/wiki/Transcripts/On_Your_Marks","https://mlp.fandom.com/wiki/On_Your_Marks"
"Gauntlet of Fire","Joanna Lewis & Kristine Songco","2016-04-16","https://mlp.fandom.com/wiki/Transcripts/Gauntlet_of_Fire","https://mlp.fandom.com/wiki/Gauntlet_of_Fire"
"No Second Prances","Nick Confalone","2016-04-30","https://mlp.fandom.com/wiki/Transcripts/No_Second_Prances","https://mlp.fandom.com/wiki/No_Second_Prances"
"Newbie Dash","Dave Rapp; story by Dave Polsky & Dave Rapp","2016-05-07","https://mlp.fandom.com/wiki/Transcripts/Newbie_Dash","https://mlp.fandom.com/wiki/Newbie_Dash"
"A Hearth's Warming Tail","Michael Vogel","2016-05-14","https://mlp.fandom.com/wiki/Transcripts/A_Hearth%27s_Warming_Tail","https://mlp.fandom.com/wiki/A_Hearth%27s_Warming_Tail"
"The Saddle Row Review","Nick Confalone","2016-05-21","https://mlp.fandom.com/wiki/Transcripts/The_Saddle_Row_Review","https://mlp.fandom.com/wiki/The_Saddle_Row_Review"
"Applejack's ""Day"" Off","Michael P. Fox & Wil Fox; story by Neal Dusedau, Michael P. Fox & Wil Fox","2016-05-28","https://mlp.fandom.com/wiki/Transcripts/Applejack%27s_%22Day%22_Off","https://mlp.fandom.com/wiki/Applejack%27s_%22Day%22_Off"
"Flutter Brutter","Dave Rapp; story by Meghan McCarthy","2016-06-04","https://mlp.fandom.com/wiki/Transcripts/Flutter_Brutter","https://mlp.fandom.com/wiki/Flutter_Brutter"
"Spice Up Your Life","Michael Vogel","2016-06-11","https://mlp.fandom.com/wiki/Transcripts/Spice_Up_Your_Life","https://mlp.fandom.com/wiki/Spice_Up_Your_Life"
"Stranger Than Fan Fiction","Josh Haber & Michael Vogel","2016-07-30","https://mlp.fandom.com/wiki/Transcripts/Stranger_Than_Fan_Fiction","https://mlp.fandom.com/wiki/Stranger_Than_Fan_Fiction"
"The Cart Before the Ponies","Ed Valentine; story by Ed Valentine and Michael Vogel","2016-08-06","https://mlp.fandom.com/wiki/Transcripts/The_Cart_Before_the_Ponies","https://mlp.fandom.com/wiki/The_Cart_Before_the_Ponies"
"28 Pranks Later","F.M. De Marco; story by Meghan McCarthy","2016-08-13","https://mlp.fandom.com/wiki/Transcripts/28_Pranks_Later","https://mlp.fandom.com/wiki/28_Pranks_Later"
"The Times They Are A Changeling","Kevin Burke & Chris ""Doc"" Wyatt; story by Michael Vogel, Kevin Burke & Chris ""Doc"" Wyatt","2016-08-20","https://mlp.fandom.com/wiki/Transcripts/The_Times_They_Are_A_Changeling","https://mlp.fandom.com/wiki/The_Times_They_Are_A_Changeling"
"Dungeons & Discords","Nick Confalone","2016-08-27","https://mlp.fandom.com/wiki/Transcripts/Dungeons_%26_Discords","https://mlp.fandom.com/wiki/Dungeons_%26_Discords"
"Buckball Season","Jennifer Skelly","2016-09-03","https://mlp.fandom.com/wiki/Transcripts/Buckball_Season","https://mlp.fandom.com/wiki/Buckball_Season"
"The Fault in Our Cutie Marks","Ed Valentine; story by Josh Haber and Meghan McCarthy","2016-09-10","https://mlp.fandom.com/wiki/Transcripts/The_Fault_in_Our_Cutie_Marks","https://mlp.fandom.com/wiki/The_Fault_in_Our_Cutie_Marks"
"Viva Las Pegasus","Kevin Burke & Chris ""Doc"" Wyatt; story by Michael Vogel, Kevin Burke & Chris ""Doc"" Wyatt","2016-09-17","https://mlp.fandom.com/wiki/Transcripts/Viva_Las_Pegasus","https://mlp.fandom.com/wiki/Viva_Las_Pegasus"
"Every Little Thing She Does","Michael Vogel","2016-09-24","https://mlp.fandom.com/wiki/Transcripts/Every_Little_Thing_She_Does","https://mlp.fandom.com/wiki/Every_Little_Thing_She_Does"
"P.P.O.V. (Pony Point of View)","Michael P. Fox & Wil Fox; story by Kevin Burke, Chris ""Doc"" Wyatt, Michael P. Fox, & Wil Fox","2016-10-01","https://mlp.fandom.com/wiki/Transcripts/P.P.O.V._(Pony_Point_of_View)","https://mlp.fandom.com/wiki/P.P.O.V._(Pony_Point_of_View)"
"Where the Apple Lies","Dave Rapp; story by Meghan McCarthy & Dave Rapp","2016-10-08","https://mlp.fandom.com/wiki/Transcripts/Where_the_Apple_Lies","https://mlp.fandom.com/wiki/Where_the_Apple_Lies"
"Top Bolt","Joanna Lewis & Kristine Songco; story by Meghan McCarthy, Joanna Lewis, & Kristine Songco","2016-10-15","https://mlp.fandom.com/wiki/Transcripts/Top_Bolt","https://mlp.fandom.com/wiki/Top_Bolt"
"To Where and Back Again - Part 1","Josh Haber & Michael Vogel","2016-10-22","https://mlp.fandom.com/wiki/Transcripts/To_Where_and_Back_Again_-_Part_1","https://mlp.fandom.com/wiki/To_Where_and_Back_Again_-_Part_1"
"To Where and Back Again - Part 2","Josh Haber & Michael Vogel","2016-10-22","https://mlp.fandom.com/wiki/Transcripts/To_Where_and_Back_Again_-_Part_2","https://mlp.fandom.com/wiki/To_Where_and_Back_Again_-_Part_2"
"Celestial Advice","Joanna Lewis & Kristine Songco","2017-04-15","https://mlp.fandom.com/wiki/Transcripts/Celestial_Advice","https://mlp.fandom.com/wiki/Celestial_Advice"
"All Bottled Up","Joanna Lewis & Kristine Songco","2017-04-15","https://mlp.fandom.com/wiki/Transcripts/All_Bottled_Up","https://mlp.fandom.com/wiki/All_Bottled_Up"
"A Flurry of Emotions","Sammie Crowley & Whitney Wetta","2017-04-22","https://mlp.fandom.com/wiki/Transcripts/A_Flurry_of_Emotions","https://mlp.fandom.com/wiki/A_Flurry_of_Emotions"
"Rock Solid Friendship","Nick Confalone","2017-04-29","https://mlp.fandom.com/wiki/Transcripts/Rock_Solid_Friendship","https://mlp.fandom.com/wiki/Rock_Solid_Friendship"
"Fluttershy Leans In","Gillian M. Berrow","2017-05-06","https://mlp.fandom.com/wiki/Transcripts/Fluttershy_Leans_In","https://mlp.fandom.com/wiki/Fluttershy_Leans_In"
"Forever Filly","Michael P. Fox & Wil Fox","2017-05-13","https://mlp.fandom.com/wiki/Transcripts/Forever_Filly","https://mlp.fandom.com/wiki/Forever_Filly"
"Parental Glideance","Josh Hamilton","2017-05-20","https://mlp.fandom.com/wiki/Transcripts/Parental_Glideance","https://mlp.fandom.com/wiki/Parental_Glideance"
"Hard to Say Anything","Becky Wangberg","2017-05-27","https://mlp.fandom.com/wiki/Transcripts/Hard_to_Say_Anything","https://mlp.fandom.com/wiki/Hard_to_Say_Anything"
"Honest Apple","Kevin Lappin","2017-06-03","https://mlp.fandom.com/wiki/Transcripts/Honest_Apple","https://mlp.fandom.com/wiki/Honest_Apple"
"A Royal Problem","Joanna Lewis & Kristine Songco","2017-06-10","https://mlp.fandom.com/wiki/Transcripts/A_Royal_Problem","https://mlp.fandom.com/wiki/A_Royal_Problem"
"Not Asking for Trouble","May Chan","2017-06-17","https://mlp.fandom.com/wiki/Transcripts/Not_Asking_for_Trouble","https://mlp.fandom.com/wiki/Not_Asking_for_Trouble"
"Discordant Harmony","Michael P. Fox & Wil Fox","2017-08-05","https://mlp.fandom.com/wiki/Transcripts/Discordant_Harmony","https://mlp.fandom.com/wiki/Discordant_Harmony"
"The Perfect Pear","Joanna Lewis & Kristine Songco","2017-08-05","https://mlp.fandom.com/wiki/Transcripts/The_Perfect_Pear","https://mlp.fandom.com/wiki/The_Perfect_Pear"
"Fame and Misfortune","M. A. Larson","2017-08-12","https://mlp.fandom.com/wiki/Transcripts/Fame_and_Misfortune","https://mlp.fandom.com/wiki/Fame_and_Misfortune"
"Triple Threat","Josh Hamilton","2017-08-19","https://mlp.fandom.com/wiki/Transcripts/Triple_Threat","https://mlp.fandom.com/wiki/Triple_Threat"
"Campfire Tales","Barry Safchik & Michael Platt","2017-08-26","https://mlp.fandom.com/wiki/Transcripts/Campfire_Tales","https://mlp.fandom.com/wiki/Campfire_Tales"
"To Change a Changeling","Kevin Lappin","2017-09-02","https://mlp.fandom.com/wiki/Transcripts/To_Change_a_Changeling","https://mlp.fandom.com/wiki/To_Change_a_Changeling"
"Daring Done?","Gillian M. Berrow","2017-09-09","https://mlp.fandom.com/wiki/Transcripts/Daring_Done%3F","https://mlp.fandom.com/wiki/Daring_Done%3F"
"It Isn't the Mane Thing About You","Josh Haber","2017-09-16","https://mlp.fandom.com/wiki/Transcripts/It_Isn%27t_the_Mane_Thing_About_You","https://mlp.fandom.com/wiki/It_Isn%27t_the_Mane_Thing_About_You"
"A Health of Information","Sammie Crowley & Whitney Wetta","2017-09-23","https://mlp.fandom.com/wiki/Transcripts/A_Health_of_Information","https://mlp.fandom.com/wiki/A_Health_of_Information"
"Marks and Recreation","May Chan","2017-09-30","https://mlp.fandom.com/wiki/Transcripts/Marks_and_Recreation","https://mlp.fandom.com/wiki/Marks_and_Recreation"
"Once Upon a Zeppelin","Brittany Jo Flores","2017-10-07","https://mlp.fandom.com/wiki/Transcripts/Once_Upon_a_Zeppelin","https://mlp.fandom.com/wiki/Once_Upon_a_Zeppelin"
"Secrets and Pies","Josh Hamilton","2017-10-14","https://mlp.fandom.com/wiki/Transcripts/Secrets_and_Pies","https://mlp.fandom.com/wiki/Secrets_and_Pies"
"Uncommon Bond","Josh Haber & Kevin Lappin","2017-10-21","https://mlp.fandom.com/wiki/Transcripts/Uncommon_Bond","https://mlp.fandom.com/wiki/Uncommon_Bond"
"Shadow Play - Part 1","Josh Haber & Nicole Dubuc; story by Josh Haber","2017-10-28","https://mlp.fandom.com/wiki/Transcripts/Shadow_Play_-_Part_1","https://mlp.fandom.com/wiki/Shadow_Play_-_Part_1"
"Shadow Play - Part 2","Josh Haber & Nicole Dubuc; story by Josh Haber","2017-10-28","https://mlp.fandom.com/wiki/Transcripts/Shadow_Play_-_Part_2","https://mlp.fandom.com/wiki/Shadow_Play_-_Part_2"
"School Daze - Part 1","Michael Vogel & Nicole Dubuc","2018-03-24","https://mlp.fandom.com/wiki/Transcripts/School_Daze_-_Part_1","https://mlp.fandom.com/wiki/School_Daze_-_Part_1"
"School Daze - Part 2","Michael Vogel & Nicole Dubuc","2018-03-24","https://mlp.fandom.com/wiki/Transcripts/School_Daze_-_Part_2","https://mlp.fandom.com/wiki/School_Daze_-_Part_2"
"The Maud Couple","Nick Confalone","2018-03-31","https://mlp.fandom.com/wiki/Transcripts/The_Maud_Couple","https://mlp.fandom.com/wiki/The_Maud_Couple"
"Fake It 'Til You Make It","Josh Hamilton","2018-04-07","https://mlp.fandom.com/wiki/Transcripts/Fake_It_%27Til_You_Make_It","https://mlp.fandom.com/wiki/Fake_It_%27Til_You_Make_It"
"Grannies Gone Wild","Gillian M. Berrow","2018-04-14","https://mlp.fandom.com/wiki/Transcripts/Grannies_Gone_Wild","https://mlp.fandom.com/wiki/Grannies_Gone_Wild"
"Surf and/or Turf","Brian Hohlfeld","2018-04-21","https://mlp.fandom.com/wiki/Transcripts/Surf_and_or_Turf","https://mlp.fandom.com/wiki/Surf_and_or_Turf"
"Horse Play","Kaita Mpambara","2018-04-28","https://mlp.fandom.com/wiki/Transcripts/Horse_Play","https://mlp.fandom.com/wiki/Horse_Play"
"The Parent Map","Dave Rapp","2018-05-05","https://mlp.fandom.com/wiki/Transcripts/The_Parent_Map","https://mlp.fandom.com/wiki/The_Parent_Map"
"Non-Compete Clause","Kim Beyer-Johnson","2018-05-12","https://mlp.fandom.com/wiki/Transcripts/Non-Compete_Clause","https://mlp.fandom.com/wiki/Non-Compete_Clause"
"The Break Up Break Down","Nick Confalone","2018-05-19","https://mlp.fandom.com/wiki/Transcripts/The_Break_Up_Break_Down","https://mlp.fandom.com/wiki/The_Break_Up_Break_Down"
"Molt Down","Josh Haber","2018-05-26","https://mlp.fandom.com/wiki/Transcripts/Molt_Down","https://mlp.fandom.com/wiki/Molt_Down"
"Marks for Effort","Nicole Dubuc","2018-06-02","https://mlp.fandom.com/wiki/Transcripts/Marks_for_Effort","https://mlp.fandom.com/wiki/Marks_for_Effort"
"The Mean 6","Michael Vogel","2018-06-09","https://mlp.fandom.com/wiki/Transcripts/The_Mean_6","https://mlp.fandom.com/wiki/The_Mean_6"
"A Matter of Principals","Nicole Dubuc","2018-08-04","https://mlp.fandom.com/wiki/Transcripts/A_Matter_of_Principals","https://mlp.fandom.com/wiki/A_Matter_of_Principals"
"The Hearth's Warming Club","Brian Hohlfeld","2018-08-04","https://mlp.fandom.com/wiki/Transcripts/The_Hearth%27s_Warming_Club","https://mlp.fandom.com/wiki/The_Hearth%27s_Warming_Club"
"Friendship University","Chris ""Doc"" Wyatt & Kevin Burke","2018-08-11","https://mlp.fandom.com/wiki/Transcripts/Friendship_University","https://mlp.fandom.com/wiki/Friendship_University"
"The End in Friend","Gillian M. Berrow","2018-08-18","https://mlp.fandom.com/wiki/Transcripts/The_End_in_Friend","https://mlp.fandom.com/wiki/The_End_in_Friend"
"Yakity-Sax","Michael P. Fox & Wil Fox","2018-08-25","https://mlp.fandom.com/wiki/Transcripts/Yakity-Sax","https://mlp.fandom.com/wiki/Yakity-Sax"
"Road to Friendship","Josh Haber","2018-09-01","https://mlp.fandom.com/wiki/Transcripts/Road_to_Friendship","https://mlp.fandom.com/wiki/Road_to_Friendship"
"The Washouts","Nick Confalone","2018-09-08","https://mlp.fandom.com/wiki/Transcripts/The_Washouts","https://mlp.fandom.com/wiki/The_Washouts"
"A Rockhoof and a Hard Place","Kaita Mpambara","2018-09-15","https://mlp.fandom.com/wiki/Transcripts/A_Rockhoof_and_a_Hard_Place","https://mlp.fandom.com/wiki/A_Rockhoof_and_a_Hard_Place"
"What Lies Beneath","Michael Vogel","2018-09-22","https://mlp.fandom.com/wiki/Transcripts/What_Lies_Beneath","https://mlp.fandom.com/wiki/What_Lies_Beneath"
"Sounds of Silence","Gregory Bonsignore","2018-09-29","https://mlp.fandom.com/wiki/Transcripts/Sounds_of_Silence","https://mlp.fandom.com/wiki/Sounds_of_Silence"
"Father Knows Beast","Josh Haber","2018-10-06","https://mlp.fandom.com/wiki/Transcripts/Father_Knows_Beast","https://mlp.fandom.com/wiki/Father_Knows_Beast"
"School Raze - Part 1","Nicole Dubuc","2018-10-13","https://mlp.fandom.com/wiki/Transcripts/School_Raze_-_Part_1","https://mlp.fandom.com/wiki/School_Raze_-_Part_1"
"School Raze - Part 2","Josh Haber","2018-10-13","https://mlp.fandom.com/wiki/Transcripts/School_Raze_-_Part_2","https://mlp.fandom.com/wiki/School_Raze_-_Part_2"
"My Little Pony The Movie","Meghan McCarthy, Rita Hsiao, & Michael Vogel; story by Meghan McCarthy & Joe Ballarini[25]","2017-10-06","https://mlp.fandom.com/wiki/Transcripts/My_Little_Pony_The_Movie","https://mlp.fandom.com/wiki/My_Little_Pony_The_Movie"
"My Little Pony Best Gift Ever","Michael Vogel","2018-10-27","https://mlp.fandom.com/wiki/Transcripts/My_Little_Pony_Best_Gift_Ever","https://mlp.fandom.com/wiki/My_Little_Pony_Best_Gift_Ever"
