"word","n","writer"
"ready",29,"Amy Keating Rogers"
"bad",21,"Amy Keating Rogers"
"amazing",19,"Amy Keating Rogers"
"fine",19,"Amy Keating Rogers"
"special",17,"Amy Keating Rogers"
"nice",16,"Amy Keating Rogers"
"lovely",15,"Amy Keating Rogers"
"wrong",14,"Amy Keating Rogers"
"extra",13,"Amy Keating Rogers"
"real",10,"Amy Keating Rogers"
"super",10,"Amy Keating Rogers"
"true",10,"Amy Keating Rogers"
"awful",9,"Amy Keating Rogers"
"beautiful",9,"Amy Keating Rogers"
"favorite",9,"Amy Keating Rogers"
"happy",9,"Amy Keating Rogers"
"hard",9,"Amy Keating Rogers"
"terrible",9,"Amy Keating Rogers"
"awesome",8,"Amy Keating Rogers"
"busy",8,"Amy Keating Rogers"
"male",8,"Amy Keating Rogers"
"perfect",8,"Amy Keating Rogers"
"biggest",7,"Amy Keating Rogers"
"blue",7,"Amy Keating Rogers"
"delicious",7,"Amy Keating Rogers"
"ridiculous",7,"Amy Keating Rogers"
"safe",7,"Amy Keating Rogers"
"annual",6,"Amy Keating Rogers"
"deep",6,"Amy Keating Rogers"
"golden",6,"Amy Keating Rogers"
"grand",6,"Amy Keating Rogers"
"quick",6,"Amy Keating Rogers"
"silly",6,"Amy Keating Rogers"
"entire",5,"Amy Keating Rogers"
"final",5,"Amy Keating Rogers"
"fluttershy",5,"Amy Keating Rogers"
"hungry",5,"Amy Keating Rogers"
"jealous",5,"Amy Keating Rogers"
"lucky",5,"Amy Keating Rogers"
"sad",5,"Amy Keating Rogers"
"spectacular",5,"Amy Keating Rogers"
"abysmal",4,"Amy Keating Rogers"
"afraid",4,"Amy Keating Rogers"
"creepy",4,"Amy Keating Rogers"
"desperate",4,"Amy Keating Rogers"
"dumb",4,"Amy Keating Rogers"
"easy",4,"Amy Keating Rogers"
"famous",4,"Amy Keating Rogers"
"fancy",4,"Amy Keating Rogers"
"fantastic",4,"Amy Keating Rogers"
"funny",4,"Amy Keating Rogers"
"glad",4,"Amy Keating Rogers"
"horrible",4,"Amy Keating Rogers"
"lousy",4,"Amy Keating Rogers"
"mighty",4,"Amy Keating Rogers"
"musical",4,"Amy Keating Rogers"
"mysterious",4,"Amy Keating Rogers"
"nervous",4,"Amy Keating Rogers"
"official",4,"Amy Keating Rogers"
"royal",4,"Amy Keating Rogers"
"sour",4,"Amy Keating Rogers"
"sweet",4,"Amy Keating Rogers"
"tasty",4,"Amy Keating Rogers"
"weird",4,"Amy Keating Rogers"
"wonderful",4,"Amy Keating Rogers"
"happy",23,"M. A. Larson"
"bad",21,"M. A. Larson"
"true",18,"M. A. Larson"
"sonic",15,"M. A. Larson"
"beautiful",12,"M. A. Larson"
"future",12,"M. A. Larson"
"nice",11,"M. A. Larson"
"magic",10,"M. A. Larson"
"powerful",10,"M. A. Larson"
"ready",10,"M. A. Larson"
"special",10,"M. A. Larson"
"wrong",10,"M. A. Larson"
"amazing",9,"M. A. Larson"
"entire",9,"M. A. Larson"
"afraid",8,"M. A. Larson"
"awful",8,"M. A. Larson"
"funny",8,"M. A. Larson"
"proud",8,"M. A. Larson"
"fluttershy",7,"M. A. Larson"
"incredible",7,"M. A. Larson"
"wonderful",7,"M. A. Larson"
"cool",6,"M. A. Larson"
"fine",6,"M. A. Larson"
"free",6,"M. A. Larson"
"glad",6,"M. A. Larson"
"hard",6,"M. A. Larson"
"perfect",6,"M. A. Larson"
"real",6,"M. A. Larson"
"sweet",6,"M. A. Larson"
"unique",6,"M. A. Larson"
"dangerous",5,"M. A. Larson"
"dark",5,"M. A. Larson"
"horrible",5,"M. A. Larson"
"hungry",5,"M. A. Larson"
"late",5,"M. A. Larson"
"lovely",5,"M. A. Larson"
"normal",5,"M. A. Larson"
"pleasant",5,"M. A. Larson"
"royal",5,"M. A. Larson"
"strange",5,"M. A. Larson"
"total",5,"M. A. Larson"
"worth",5,"M. A. Larson"
"<u+0096>",4,"M. A. Larson"
"awesome",4,"M. A. Larson"
"bigger",4,"M. A. Larson"
"boring",4,"M. A. Larson"
"delicious",4,"M. A. Larson"
"easy",4,"M. A. Larson"
"eternal",4,"M. A. Larson"
"evil",4,"M. A. Larson"
"flameless",4,"M. A. Larson"
"impossible",4,"M. A. Larson"
"lucky",4,"M. A. Larson"
"magical",4,"M. A. Larson"
"thy",4,"M. A. Larson"
"worst",4,"M. A. Larson"
"special",35,"Meghan McCarthy"
"perfect",29,"Meghan McCarthy"
"ready",26,"Meghan McCarthy"
"amazing",24,"Meghan McCarthy"
"afraid",22,"Meghan McCarthy"
"bad",22,"Meghan McCarthy"
"fine",21,"Meghan McCarthy"
"real",20,"Meghan McCarthy"
"glad",19,"Meghan McCarthy"
"happy",19,"Meghan McCarthy"
"nice",17,"Meghan McCarthy"
"sick",17,"Meghan McCarthy"
"wonderful",17,"Meghan McCarthy"
"wrong",17,"Meghan McCarthy"
"awesome",15,"Meghan McCarthy"
"funny",15,"Meghan McCarthy"
"lovely",15,"Meghan McCarthy"
"terrible",15,"Meghan McCarthy"
"awful",14,"Meghan McCarthy"
"hard",14,"Meghan McCarthy"
"favorite",13,"Meghan McCarthy"
"magic",13,"Meghan McCarthy"
"strong",12,"Meghan McCarthy"
"true",12,"Meghan McCarthy"
"beautiful",11,"Meghan McCarthy"
"busy",11,"Meghan McCarthy"
"sweet",11,"Meghan McCarthy"
"fluttershy",10,"Meghan McCarthy"
"lucky",10,"Meghan McCarthy"
"royal",10,"Meghan McCarthy"
"strange",10,"Meghan McCarthy"
"fabulous",9,"Meghan McCarthy"
"super",9,"Meghan McCarthy"
"worst",9,"Meghan McCarthy"
"creative",8,"Meghan McCarthy"
"easy",8,"Meghan McCarthy"
"impossible",8,"Meghan McCarthy"
"powerful",8,"Meghan McCarthy"
"quiet",8,"Meghan McCarthy"
"<u+0096>",7,"Meghan McCarthy"
"crazy",7,"Meghan McCarthy"
"crystal",7,"Meghan McCarthy"
"entire",7,"Meghan McCarthy"
"magical",7,"Meghan McCarthy"
"nervous",7,"Meghan McCarthy"
"rude",7,"Meghan McCarthy"
"dark",6,"Meghan McCarthy"
"dear",6,"Meghan McCarthy"
"difficult",6,"Meghan McCarthy"
"famous",6,"Meghan McCarthy"
"free",6,"Meghan McCarthy"
"honest",6,"Meghan McCarthy"
"huge",6,"Meghan McCarthy"
"incredible",6,"Meghan McCarthy"
"proud",6,"Meghan McCarthy"
"ridiculous",6,"Meghan McCarthy"
"unique",6,"Meghan McCarthy"
"real",36,"Josh Haber"
"powerful",30,"Josh Haber"
"glad",29,"Josh Haber"
"magical",26,"Josh Haber"
"wrong",26,"Josh Haber"
"magic",25,"Josh Haber"
"ready",25,"Josh Haber"
"perfect",23,"Josh Haber"
"amazing",22,"Josh Haber"
"hard",20,"Josh Haber"
"true",19,"Josh Haber"
"bad",18,"Josh Haber"
"nice",18,"Josh Haber"
"ancient",17,"Josh Haber"
"afraid",16,"Josh Haber"
"fine",16,"Josh Haber"
"awesome",15,"Josh Haber"
"busy",15,"Josh Haber"
"common",15,"Josh Haber"
"worse",14,"Josh Haber"
"easy",13,"Josh Haber"
"happy",13,"Josh Haber"
"wonderful",13,"Josh Haber"
"dark",12,"Josh Haber"
"<u+0096>",11,"Josh Haber"
"safe",11,"Josh Haber"
"special",11,"Josh Haber"
"terrible",11,"Josh Haber"
"ridiculous",10,"Josh Haber"
"simple",10,"Josh Haber"
"beautiful",9,"Josh Haber"
"impossible",9,"Josh Haber"
"lovely",9,"Josh Haber"
"lucky",9,"Josh Haber"
"strange",9,"Josh Haber"
"awful",8,"Josh Haber"
"cool",8,"Josh Haber"
"funny",8,"Josh Haber"
"tonic",8,"Josh Haber"
"crazy",7,"Josh Haber"
"daring",7,"Josh Haber"
"evil",7,"Josh Haber"
"giant",7,"Josh Haber"
"late",7,"Josh Haber"
"normal",7,"Josh Haber"
"secret",7,"Josh Haber"
"worth",7,"Josh Haber"
"free",6,"Josh Haber"
"legendary",6,"Josh Haber"
"silly",6,"Josh Haber"
"stygian",6,"Josh Haber"
"bad",15,"Cindy Morrow"
"ready",15,"Cindy Morrow"
"awesome",13,"Cindy Morrow"
"hard",11,"Cindy Morrow"
"poor",11,"Cindy Morrow"
"amazing",9,"Cindy Morrow"
"perfect",9,"Cindy Morrow"
"sweet",9,"Cindy Morrow"
"zap",9,"Cindy Morrow"
"cool",8,"Cindy Morrow"
"favorite",8,"Cindy Morrow"
"fine",8,"Cindy Morrow"
"hot",8,"Cindy Morrow"
"special",8,"Cindy Morrow"
"fluttershy",7,"Cindy Morrow"
"sick",7,"Cindy Morrow"
"dirty",6,"Cindy Morrow"
"glad",6,"Cindy Morrow"
"jealous",6,"Cindy Morrow"
"real",6,"Cindy Morrow"
"silly",6,"Cindy Morrow"
"wonderful",6,"Cindy Morrow"
"blank",5,"Cindy Morrow"
"cold",5,"Cindy Morrow"
"happy",5,"Cindy Morrow"
"magic",5,"Cindy Morrow"
"super",5,"Cindy Morrow"
"wrong",5,"Cindy Morrow"
"blue",4,"Cindy Morrow"
"cute",4,"Cindy Morrow"
"deep",4,"Cindy Morrow"
"easy",4,"Cindy Morrow"
"lame",4,"Cindy Morrow"
"ridiculous",4,"Cindy Morrow"
"safe",4,"Cindy Morrow"
"smart",4,"Cindy Morrow"
"upset",4,"Cindy Morrow"
"bigger",3,"Cindy Morrow"
"busy",3,"Cindy Morrow"
"dark",3,"Cindy Morrow"
"desperate",3,"Cindy Morrow"
"dramatic",3,"Cindy Morrow"
"extra",3,"Cindy Morrow"
"fresh",3,"Cindy Morrow"
"funny",3,"Cindy Morrow"
"hoof",3,"Cindy Morrow"
"lazy",3,"Cindy Morrow"
"lucky",3,"Cindy Morrow"
"natural",3,"Cindy Morrow"
"nervous",3,"Cindy Morrow"
"nice",3,"Cindy Morrow"
"ouch",3,"Cindy Morrow"
"owlowiscious",3,"Cindy Morrow"
"quick",3,"Cindy Morrow"
"strong",3,"Cindy Morrow"
"terrible",3,"Cindy Morrow"
"true",3,"Cindy Morrow"
"wooden",3,"Cindy Morrow"
"worried",3,"Cindy Morrow"
"bad",27,"Dave Polsky"
"real",27,"Dave Polsky"
"amazing",23,"Dave Polsky"
"awesome",23,"Dave Polsky"
"ready",22,"Dave Polsky"
"fine",18,"Dave Polsky"
"glad",16,"Dave Polsky"
"nice",16,"Dave Polsky"
"wrong",16,"Dave Polsky"
"true",15,"Dave Polsky"
"hard",12,"Dave Polsky"
"extra",10,"Dave Polsky"
"perfect",10,"Dave Polsky"
"wide",10,"Dave Polsky"
"cool",9,"Dave Polsky"
"late",9,"Dave Polsky"
"afraid",8,"Dave Polsky"
"busy",8,"Dave Polsky"
"entire",8,"Dave Polsky"
"favorite",8,"Dave Polsky"
"special",8,"Dave Polsky"
"terrible",8,"Dave Polsky"
"wonderful",8,"Dave Polsky"
"excited",7,"Dave Polsky"
"safe",7,"Dave Polsky"
"fluttershy",6,"Dave Polsky"
"huge",6,"Dave Polsky"
"lucky",6,"Dave Polsky"
"adorable",5,"Dave Polsky"
"dark",5,"Dave Polsky"
"fabulous",5,"Dave Polsky"
"poor",5,"Dave Polsky"
"proud",5,"Dave Polsky"
"quick",5,"Dave Polsky"
"ridiculous",5,"Dave Polsky"
"tough",5,"Dave Polsky"
"awful",4,"Dave Polsky"
"beautiful",4,"Dave Polsky"
"dangerous",4,"Dave Polsky"
"evil",4,"Dave Polsky"
"exciting",4,"Dave Polsky"
"finest",4,"Dave Polsky"
"free",4,"Dave Polsky"
"funny",4,"Dave Polsky"
"happy",4,"Dave Polsky"
"hot",4,"Dave Polsky"
"magic",4,"Dave Polsky"
"noble",4,"Dave Polsky"
"original",4,"Dave Polsky"
"pal",4,"Dave Polsky"
"red",4,"Dave Polsky"
"scary",4,"Dave Polsky"
"simple",4,"Dave Polsky"
"super",4,"Dave Polsky"
"worse",4,"Dave Polsky"
"worst",4,"Dave Polsky"
"happy",26,"Nick Confalone"
"perfect",21,"Nick Confalone"
"real",12,"Nick Confalone"
"powerful",11,"Nick Confalone"
"bad",10,"Nick Confalone"
"cool",10,"Nick Confalone"
"ready",10,"Nick Confalone"
"wrong",10,"Nick Confalone"
"funny",8,"Nick Confalone"
"lucky",8,"Nick Confalone"
"amazing",7,"Nick Confalone"
"busy",7,"Nick Confalone"
"favorite",7,"Nick Confalone"
"sweet",7,"Nick Confalone"
"beautiful",6,"Nick Confalone"
"dangerous",6,"Nick Confalone"
"evil",6,"Nick Confalone"
"fine",6,"Nick Confalone"
"hard",6,"Nick Confalone"
"mad",6,"Nick Confalone"
"magic",6,"Nick Confalone"
"nice",6,"Nick Confalone"
"quick",6,"Nick Confalone"
"special",6,"Nick Confalone"
"weird",6,"Nick Confalone"
"afraid",5,"Nick Confalone"
"blue",5,"Nick Confalone"
"common",5,"Nick Confalone"
"easy",5,"Nick Confalone"
"entire",5,"Nick Confalone"
"glad",5,"Nick Confalone"
"jealous",5,"Nick Confalone"
"nervous",5,"Nick Confalone"
"awful",4,"Nick Confalone"
"exciting",4,"Nick Confalone"
"late",4,"Nick Confalone"
"red",4,"Nick Confalone"
"super",4,"Nick Confalone"
"traditional",4,"Nick Confalone"
"true",4,"Nick Confalone"
"awesome",3,"Nick Confalone"
"black",3,"Nick Confalone"
"grand",3,"Nick Confalone"
"gritted",3,"Nick Confalone"
"hungry",3,"Nick Confalone"
"intelligent",3,"Nick Confalone"
"lovely",3,"Nick Confalone"
"romantic",3,"Nick Confalone"
"safe",3,"Nick Confalone"
"silly",3,"Nick Confalone"
"yak",3,"Nick Confalone"
"fine",21,"Michael Vogel"
"bad",16,"Michael Vogel"
"true",15,"Michael Vogel"
"perfect",14,"Michael Vogel"
"ready",14,"Michael Vogel"
"real",14,"Michael Vogel"
"wrong",13,"Michael Vogel"
"nice",12,"Michael Vogel"
"fastest",11,"Michael Vogel"
"traditional",11,"Michael Vogel"
"amazing",10,"Michael Vogel"
"awesome",10,"Michael Vogel"
"special",10,"Michael Vogel"
"creative",9,"Michael Vogel"
"loudspeaker",9,"Michael Vogel"
"powerful",9,"Michael Vogel"
"strange",9,"Michael Vogel"
"cool",8,"Michael Vogel"
"fluttershy",8,"Michael Vogel"
"unique",8,"Michael Vogel"
"hard",6,"Michael Vogel"
"lame",6,"Michael Vogel"
"mad",6,"Michael Vogel"
"worse",6,"Michael Vogel"
"<u+0096>",5,"Michael Vogel"
"afraid",5,"Michael Vogel"
"bigger",5,"Michael Vogel"
"crazy",5,"Michael Vogel"
"evil",5,"Michael Vogel"
"exact",5,"Michael Vogel"
"glad",5,"Michael Vogel"
"honest",5,"Michael Vogel"
"pink",5,"Michael Vogel"
"proud",5,"Michael Vogel"
"quiet",5,"Michael Vogel"
"ridiculous",5,"Michael Vogel"
"safe",5,"Michael Vogel"
"silly",5,"Michael Vogel"
"super",5,"Michael Vogel"
"sweet",5,"Michael Vogel"
"terrible",5,"Michael Vogel"
"wonderful",5,"Michael Vogel"
"adorable",4,"Michael Vogel"
"beautiful",4,"Michael Vogel"
"biggest",4,"Michael Vogel"
"busy",4,"Michael Vogel"
"darling",4,"Michael Vogel"
"entertaining",4,"Michael Vogel"
"lovely",4,"Michael Vogel"
"original",4,"Michael Vogel"
"quick",4,"Michael Vogel"
"secret",4,"Michael Vogel"
"specific",4,"Michael Vogel"
"to<u+0097>",4,"Michael Vogel"
"upset",4,"Michael Vogel"
"weird",4,"Michael Vogel"
"worst",4,"Michael Vogel"
"fine",10,"Charlotte Fullerton"
"happy",8,"Charlotte Fullerton"
"fluttershy",7,"Charlotte Fullerton"
"responsible",7,"Charlotte Fullerton"
"cool",6,"Charlotte Fullerton"
"cooler",6,"Charlotte Fullerton"
"perfect",6,"Charlotte Fullerton"
"poor",6,"Charlotte Fullerton"
"ready",6,"Charlotte Fullerton"
"awesome",5,"Charlotte Fullerton"
"bigger",5,"Charlotte Fullerton"
"afraid",4,"Charlotte Fullerton"
"amazing",4,"Charlotte Fullerton"
"beautiful",4,"Charlotte Fullerton"
"easy",4,"Charlotte Fullerton"
"hard",4,"Charlotte Fullerton"
"hungry",4,"Charlotte Fullerton"
"late",4,"Charlotte Fullerton"
"nice",4,"Charlotte Fullerton"
"speedy",4,"Charlotte Fullerton"
"tough",4,"Charlotte Fullerton"
"wonderful",4,"Charlotte Fullerton"
"bad",3,"Charlotte Fullerton"
"delicious",3,"Charlotte Fullerton"
"glad",3,"Charlotte Fullerton"
"handsome",3,"Charlotte Fullerton"
"mad",3,"Charlotte Fullerton"
"magical",3,"Charlotte Fullerton"
"muddy",3,"Charlotte Fullerton"
"proud",3,"Charlotte Fullerton"
"quick",3,"Charlotte Fullerton"
"royal",3,"Charlotte Fullerton"
"true",3,"Charlotte Fullerton"
"agile",2,"Charlotte Fullerton"
"busy",2,"Charlotte Fullerton"
"careful",2,"Charlotte Fullerton"
"casual",2,"Charlotte Fullerton"
"comic",2,"Charlotte Fullerton"
"crazy",2,"Charlotte Fullerton"
"dreadful",2,"Charlotte Fullerton"
"dry",2,"Charlotte Fullerton"
"final",2,"Charlotte Fullerton"
"french",2,"Charlotte Fullerton"
"grateful",2,"Charlotte Fullerton"
"growl",2,"Charlotte Fullerton"
"healthy",2,"Charlotte Fullerton"
"honest",2,"Charlotte Fullerton"
"loose",2,"Charlotte Fullerton"
"outrageous",2,"Charlotte Fullerton"
"overdue",2,"Charlotte Fullerton"
"personal",2,"Charlotte Fullerton"
"plain",2,"Charlotte Fullerton"
"precious",2,"Charlotte Fullerton"
"real",2,"Charlotte Fullerton"
"satisfied",2,"Charlotte Fullerton"
"short",2,"Charlotte Fullerton"
"simple",2,"Charlotte Fullerton"
"special",2,"Charlotte Fullerton"
"strange",2,"Charlotte Fullerton"
"super",2,"Charlotte Fullerton"
"tight",2,"Charlotte Fullerton"
"ugliest",2,"Charlotte Fullerton"
"worse",2,"Charlotte Fullerton"
"wrong",2,"Charlotte Fullerton"
"wrong",8,"Gillian M. Berrow"
"awesome",7,"Gillian M. Berrow"
"bad",7,"Gillian M. Berrow"
"perfect",7,"Gillian M. Berrow"
"glad",6,"Gillian M. Berrow"
"special",6,"Gillian M. Berrow"
"true",6,"Gillian M. Berrow"
"amazing",5,"Gillian M. Berrow"
"fine",5,"Gillian M. Berrow"
"happy",5,"Gillian M. Berrow"
"nice",5,"Gillian M. Berrow"
"ready",5,"Gillian M. Berrow"
"super",5,"Gillian M. Berrow"
"wonderful",5,"Gillian M. Berrow"
"cool",4,"Gillian M. Berrow"
"entire",4,"Gillian M. Berrow"
"favorite",4,"Gillian M. Berrow"
"lovely",4,"Gillian M. Berrow"
"mad",4,"Gillian M. Berrow"
"magical",4,"Gillian M. Berrow"
"safe",4,"Gillian M. Berrow"
"secret",4,"Gillian M. Berrow"
"beautiful",3,"Gillian M. Berrow"
"cute",3,"Gillian M. Berrow"
"dangerous",3,"Gillian M. Berrow"
"exact",3,"Gillian M. Berrow"
"exciting",3,"Gillian M. Berrow"
"extra",3,"Gillian M. Berrow"
"free",3,"Gillian M. Berrow"
"green",3,"Gillian M. Berrow"
"hard",3,"Gillian M. Berrow"
"loud",3,"Gillian M. Berrow"
"real",3,"Gillian M. Berrow"
"worth",3,"Gillian M. Berrow"
"adorable",2,"Gillian M. Berrow"
"ancient",2,"Gillian M. Berrow"
"angry",2,"Gillian M. Berrow"
"backup",2,"Gillian M. Berrow"
"brown",2,"Gillian M. Berrow"
"bunny",2,"Gillian M. Berrow"
"careful",2,"Gillian M. Berrow"
"comfy",2,"Gillian M. Berrow"
"common",2,"Gillian M. Berrow"
"crummy",2,"Gillian M. Berrow"
"deep",2,"Gillian M. Berrow"
"evil",2,"Gillian M. Berrow"
"fastest",2,"Gillian M. Berrow"
"fluttershy",2,"Gillian M. Berrow"
"funny",2,"Gillian M. Berrow"
"gigantic",2,"Gillian M. Berrow"
"hoof",2,"Gillian M. Berrow"
"hot",2,"Gillian M. Berrow"
"natural",2,"Gillian M. Berrow"
"poor",2,"Gillian M. Berrow"
"precious",2,"Gillian M. Berrow"
"pretty",2,"Gillian M. Berrow"
"priceless",2,"Gillian M. Berrow"
"silly",2,"Gillian M. Berrow"
"soft",2,"Gillian M. Berrow"
"sparkly",2,"Gillian M. Berrow"
"sweet",2,"Gillian M. Berrow"
"tight",2,"Gillian M. Berrow"
"tiny",2,"Gillian M. Berrow"
"top",2,"Gillian M. Berrow"
"wild",2,"Gillian M. Berrow"
"worst",2,"Gillian M. Berrow"
"fluttershy",13,"Merriwether Williams"
"bad",8,"Merriwether Williams"
"ready",8,"Merriwether Williams"
"awesome",7,"Merriwether Williams"
"amazing",6,"Merriwether Williams"
"fine",5,"Merriwether Williams"
"hard",5,"Merriwether Williams"
"hungry",5,"Merriwether Williams"
"mysterious",5,"Merriwether Williams"
"nice",5,"Merriwether Williams"
"real",5,"Merriwether Williams"
"scary",5,"Merriwether Williams"
"wrong",5,"Merriwether Williams"
"heroic",4,"Merriwether Williams"
"late",4,"Merriwether Williams"
"noble",4,"Merriwether Williams"
"beautiful",3,"Merriwether Williams"
"close",3,"Merriwether Williams"
"dark",3,"Merriwether Williams"
"favorite",3,"Merriwether Williams"
"friendly",3,"Merriwether Williams"
"handsome",3,"Merriwether Williams"
"hot",3,"Merriwether Williams"
"huge",3,"Merriwether Williams"
"lucky",3,"Merriwether Williams"
"natural",3,"Merriwether Williams"
"nervous",3,"Merriwether Williams"
"special",3,"Merriwether Williams"
"strong",3,"Merriwether Williams"
"sweet",3,"Merriwether Williams"
"tough",3,"Merriwether Williams"
"true",3,"Merriwether Williams"
"unstoppable",3,"Merriwether Williams"
"<u+0096>",2,"Merriwether Williams"
"bigger",2,"Merriwether Williams"
"biggest",2,"Merriwether Williams"
"brave",2,"Merriwether Williams"
"busy",2,"Merriwether Williams"
"capable",2,"Merriwether Williams"
"complete",2,"Merriwether Williams"
"dangerous",2,"Merriwether Williams"
"dire",2,"Merriwether Williams"
"double",2,"Merriwether Williams"
"easy",2,"Merriwether Williams"
"ew",2,"Merriwether Williams"
"extra",2,"Merriwether Williams"
"extreme",2,"Merriwether Williams"
"fabulous",2,"Merriwether Williams"
"glad",2,"Merriwether Williams"
"happy",2,"Merriwether Williams"
"harder",2,"Merriwether Williams"
"icky",2,"Merriwether Williams"
"jealous",2,"Merriwether Williams"
"juicy",2,"Merriwether Williams"
"lead",2,"Merriwether Williams"
"normal",2,"Merriwether Williams"
"outrageous",2,"Merriwether Williams"
"overdue",2,"Merriwether Williams"
"perfect",2,"Merriwether Williams"
"personal",2,"Merriwether Williams"
"powerful",2,"Merriwether Williams"
"proud",2,"Merriwether Williams"
